GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
event,com.berkinozturk.event.request,UpdateUserRequest,124,0,22,0,5,0,21,0,10,0
event,com.berkinozturk.event.request,AuthenticationRequest,128,0,22,0,7,0,22,0,11,0
event,com.berkinozturk.event.request,RegisterRequest.RegisterRequestBuilder,54,0,0,0,1,0,8,0,8,0
event,com.berkinozturk.event.request,AuthenticationRequest.AuthenticationRequestBuilder,27,0,0,0,1,0,5,0,5,0
event,com.berkinozturk.event.request,RegisterRequest,257,0,46,0,10,0,40,0,17,0
event,com.berkinozturk.event.service,AuthenticationService,62,12,0,0,18,1,2,1,2,1
event,com.berkinozturk.event.service,UserService,75,6,0,0,19,1,7,1,7,1
event,com.berkinozturk.event.service,EventService,0,77,0,0,0,17,0,7,0,7
event,com.berkinozturk.event.entity,TicketEntity,186,0,26,0,8,0,27,0,14,0
event,com.berkinozturk.event.entity,EventEntity,163,177,43,19,1,10,32,19,3,17
event,com.berkinozturk.event.entity,RoleType,15,0,0,0,3,0,1,0,1,0
event,com.berkinozturk.event.entity,TicketEntity.TicketEntityBuilder,45,0,0,0,1,0,7,0,7,0
event,com.berkinozturk.event.entity,EventEntity.EventEntityBuilder,72,0,0,0,1,0,10,0,10,0
event,com.berkinozturk.event.entity,UserEntity,316,0,54,0,16,0,51,0,24,0
event,com.berkinozturk.event.entity,TicketType,21,0,0,0,4,0,1,0,1,0
event,com.berkinozturk.event.entity,UserEntity.UserEntityBuilder,63,0,0,0,1,0,9,0,9,0
event,com.berkinozturk.event.controller,UserController,51,6,2,0,8,1,5,1,4,1
event,com.berkinozturk.event.controller,AuthenticationController,12,6,0,0,2,1,2,1,2,1
event,com.berkinozturk.event.controller,EventController,0,45,0,0,0,9,0,6,0,6
event,com.berkinozturk.event.controller,DemoController,3,3,0,0,1,1,1,1,1,1
event,com.berkinozturk.event.exception,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
event,com.berkinozturk.event.exception,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
event,com.berkinozturk.event.response,AuthenticationResponse.AuthenticationResponseBuilder,18,0,0,0,1,0,4,0,4,0
event,com.berkinozturk.event.response,AuthenticationResponse,85,0,14,0,6,0,16,0,9,0
event,com.berkinozturk.event,EventApplication,5,3,0,0,2,1,1,1,1,1
event,com.berkinozturk.event.config,ApplicationConfig,15,28,0,0,1,8,2,5,2,5
event,com.berkinozturk.event.config,RedisConfig,0,20,0,0,0,5,0,2,0,2
event,com.berkinozturk.event.config,SwaggerConfig,0,13,0,0,0,3,0,2,0,2
event,com.berkinozturk.event.config,SecurityConfig,0,60,0,0,0,11,0,4,0,4
event,com.berkinozturk.event.config,JwtAuthenticationFilter,84,6,16,0,16,1,9,1,1,1
event,com.berkinozturk.event.config,JwtService,94,3,4,0,24,1,11,1,9,1
event,com.berkinozturk.event.config,CacheConfig,0,32,0,0,0,10,0,3,0,3
